Account number,Effective Date,Transaction Date,Description,Transaction Code,Particulars,Code,Reference,Other Party Name,Other Party Account Number,Other Party Particulars,Other Party Code,Other Party Reference,Amount,Balance
12-3456-0789012-00,2026-03-27,2026-03-28,HARBOUR CAFE AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-8.50,920.21
12-3456-0789012-00,2026-03-27,2026-03-28,CITY APPLIANCES AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-3.00,917.21
12-3456-0789012-00,2026-03-27,2026-03-28,POS W/D CLOUDSTORE.COM/BILL SYDNEY AU (INC. $0.31 INTERNATIONAL TRANSACTION FEE) CLOUDSTORE.COM/BILL SYDNEY,EFTPOS PURCHASE,,,,,,,,,-17.30,899.91
12-3456-0789012-00,2026-03-29,2026-03-29,FRESH MART HIGHLAND PARK,EFTPOS PURCHASE,,,,,,,,,-82.44,817.47
12-3456-0789012-00,2026-03-28,2026-03-30,MOBILENET PREPAID (3) AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-11.04,806.43
12-3456-0789012-00,2026-03-30,2026-03-30,PAY Jane Smith Pizza,DIRECT DEBIT,Pizza,,,Jane Smith,06-6543-0987654-00,Pizza,,,-17.00,789.43
12-3456-0789012-00,2026-03-30,2026-03-30,PAY HARBOUR PROPERTY GROUP Electricity 17 Sample Ave RSMB000001,DIRECT DEBIT,Electricity,17 Sample Ave,RSMB000001,HARBOUR PROPERTY GROUP,12-4567-0023456-04,Electricity,17 Sample Ave,RSMB000001,-41.80,747.63
12-3456-0789012-00,2026-03-30,2026-03-31,CITY TRANSPORT AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-3.00,744.63
12-3456-0789012-00,2026-03-30,2026-03-31,HARBOUR CAFE AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-8.50,736.13
12-3456-0789012-00,2026-03-30,2026-03-31,CITY APPLIANCES AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-3.20,732.93
12-3456-0789012-00,2026-03-31,2026-04-01,CITY APPLIANCES AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-2.00,730.93
12-3456-0789012-00,2026-03-31,2026-04-01,CITY APPLIANCES AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-8.50,722.43
12-3456-0789012-00,2026-04-01,2026-04-01,POS W/D 5.00USD @ 0.5695 conversion rate (INC. $0.16 INTERNATIONAL TRANSACTION FEE) NETWORKHUB TORONTO,EFTPOS PURCHASE,,,,,,,,,-8.94,713.49
12-3456-0789012-00,2026-04-02,2026-04-02,AP#00000000 TO HARBOUR PROPERTY GROUP RSMB000001 Rent 17 Sample Ave,DIRECT DEBIT,RSMB000001,Rent,17 Sample Ave,HARBOUR PROPERTY GROUP,12-4567-0023456-04,RSMB000001,Other,17 Sample Ave,-550.00,163.49
12-3456-0789012-00,2026-04-01,2026-04-02,DONATION TO GLOBAL AID WHANGAREI,EFTPOS PURCHASE,,,,,,,,,-20.00,143.49
12-3456-0789012-00,2026-04-02,2026-04-02,TRANSFER FROM A N OTHER - 01,CREDIT TRANSFER,,,,A N OTHER,12-3456-0789012-01,,,,750.00,893.49
12-3456-0789012-00,2026-04-02,2026-04-03,HARBOUR CAFE AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-8.50,884.99
12-3456-0789012-00,2026-04-04,2026-04-04,FRESH MART HIGHLAND PARK,EFTPOS PURCHASE,,,,,,,,,-75.87,809.12
12-3456-0789012-00,2026-04-05,2026-04-06,CITY TRANSPORT AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-3.00,806.12
12-3456-0789012-00,2026-04-06,2026-04-07,POS W/D 7.31USD @ 0.5680 conversion rate (INC. $0.24 INTERNATIONAL TRANSACTION FEE) CLOUDSTORAGE INC CLOUDSTORAGE.COMCA,EFTPOS PURCHASE,,,,,,,,,-13.11,793.01
12-3456-0789012-00,2026-04-06,2026-04-07,POS W/D CLOUDSTORE.COM/BILL SYDNEY AU (INC. $0.37 INTERNATIONAL TRANSACTION FEE) CLOUDSTORE.COM/BILL SYDNEY,EFTPOS PURCHASE,,,,,,,,,-20.36,772.65
12-3456-0789012-00,2026-04-07,2026-04-08,CITY APPLIANCES AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-8.50,764.15
12-3456-0789012-00,2026-04-09,2026-04-09,AP#00000000 TO HARBOUR PROPERTY GROUP RSMB000001 Rent 17 Sample Ave,DIRECT DEBIT,RSMB000001,Rent,17 Sample Ave,HARBOUR PROPERTY GROUP,12-4567-0023456-04,RSMB000001,Other,17 Sample Ave,-550.00,214.15
12-3456-0789012-00,2026-04-09,2026-04-09,Direct Credit D000000001# INC 31/03/2026 I.R.D. 123-456-789 Ref: 31/03/2026 D000000001# INC I.R.D. 123-456-789,DIRECT CREDIT,D000000001#,INC,31/03/2026,I.R.D. 123-456-789,03-3210-0045678-10,,,,31.39,245.54
12-3456-0789012-00,2026-04-09,2026-04-09,TRANSFER FROM A N OTHER - 01,CREDIT TRANSFER,,,,A N OTHER,12-3456-0789012-01,,,,750.00,995.54
12-3456-0789012-00,2026-04-09,2026-04-10,CITY APPLIANCES AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-2.00,993.54
12-3456-0789012-00,2026-04-09,2026-04-10,HARBOUR CAFE AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-8.50,985.04
12-3456-0789012-00,2026-04-11,2026-04-11,FRESH MART HIGHLAND PARK,EFTPOS PURCHASE,,,,,,,,,-57.60,927.44
12-3456-0789012-00,2026-04-10,2026-04-11,CITY APPLIANCES AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-2.00,925.44
12-3456-0789012-00,2026-04-10,2026-04-11,CITY APPLIANCES AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-10.00,915.44
12-3456-0789012-00,2026-04-12,2026-04-13,CITY TRANSPORT AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-6.00,909.44
12-3456-0789012-00,2026-04-13,2026-04-14,CITY APPLIANCES AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-12.00,897.44
12-3456-0789012-00,2026-04-14,2026-04-15,CITY APPLIANCES AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-8.50,888.94
12-3456-0789012-00,2026-04-14,2026-04-15,CITY APPLIANCES AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-3.00,885.94
12-3456-0789012-00,2026-04-14,2026-04-15,CITY APPLIANCES AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-2.50,883.44
12-3456-0789012-00,2026-04-16,2026-04-16,AP#00000000 TO HARBOUR PROPERTY GROUP RSMB000001 Rent 17 Sample Ave,DIRECT DEBIT,RSMB000001,Rent,17 Sample Ave,HARBOUR PROPERTY GROUP,12-4567-0023456-04,RSMB000001,Other,17 Sample Ave,-550.00,333.44
12-3456-0789012-00,2026-04-16,2026-04-16,TRANSFER FROM A N OTHER - 01,CREDIT TRANSFER,,,,A N OTHER,12-3456-0789012-01,,,,750.00,1083.44
12-3456-0789012-00,2026-04-16,2026-04-17,HARBOUR CAFE AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-8.50,1074.94
12-3456-0789012-00,2026-04-17,2026-04-17,Salary ACME INDUSTRIES LTD NZD,DIRECT CREDIT,,,,ACME INDUSTRIES LTD NZD,01-2345-0087654-00,,,,4288.57,5363.51
12-3456-0789012-00,2026-04-18,2026-04-18,PAY A N OTHER,DIRECT DEBIT,,,,A N OTHER,04-5678-0032109-51,,,,-150.00,5213.51
12-3456-0789012-00,2026-04-18,2026-04-18,PAY MR A N OTHER Credit Card,DIRECT DEBIT,Credit Card,,,MR A N OTHER,12-9876-0054321-50,Credit Card,,,-335.00,4878.51
12-3456-0789012-00,2026-04-18,2026-04-18,TRANSFER TO A N OTHER - 01,DEBIT TRANSFER,,,,A N OTHER,12-3456-0789012-01,,,,-3865.01,1013.5
12-3456-0789012-00,2026-04-17,2026-04-18,CITY APPLIANCES AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-2.00,1011.5
12-3456-0789012-00,2026-04-17,2026-04-18,HARBOUR CAFE AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-8.50,1003
12-3456-0789012-00,2026-04-16,2026-04-18,CITY TRANSPORT AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-3.00,1000
12-3456-0789012-00,2026-04-19,2026-04-19,FRESH MART HIGHLAND PARK,EFTPOS PURCHASE,,,,,,,,,-108.44,891.56
12-3456-0789012-00,2026-04-19,2026-04-20,POS W/D 5.25USD @ 0.5879 conversion rate (INC. $0.17 INTERNATIONAL TRANSACTION FEE) HEALTHFUND.ORG HEALTHFUNDMD,EFTPOS PURCHASE,,,,,,,,,-9.10,882.46
12-3456-0789012-00,2026-04-19,2026-04-21,POS W/D 785JPY @ 92.5708 conversion rate (INC. $0.16 INTERNATIONAL TRANSACTION FEE) CLOUDSTORE DOWNLOADS TOKYO,EFTPOS PURCHASE,,,,,,,,,-8.64,873.82
12-3456-0789012-00,2026-04-20,2026-04-21,HARBOUR CAFE AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-8.50,865.32
12-3456-0789012-00,2026-04-20,2026-04-21,CIVIC SOCIETY AOTEAROA TE ARO,EFTPOS PURCHASE,,,,,,,,,-10.00,855.32
12-3456-0789012-00,2026-04-19,2026-04-21,CITY TRANSPORT AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-3.00,852.32
12-3456-0789012-00,2026-04-20,2026-04-21,MOBILENET PREPAID (1) AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-31.00,821.32
12-3456-0789012-00,2026-04-21,2026-04-21,Direct Credit D000000002# REB 31/03/2026 I.R.D. 123-456-789 Ref: 31/03/2026 D000000002# REB I.R.D. 123-456-789,DIRECT CREDIT,D000000002#,REB,31/03/2026,I.R.D. 123-456-789,03-3210-0045678-10,,,,80.00,901.32
12-3456-0789012-00,2026-04-21,2026-04-22,CITY APPLIANCES AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-2.50,898.82
12-3456-0789012-00,2026-04-21,2026-04-22,HARBOUR CAFE AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-8.50,890.32
12-3456-0789012-00,2026-04-23,2026-04-23,AP#00000000 TO HARBOUR PROPERTY GROUP RSMB000001 Rent 17 Sample Ave,DIRECT DEBIT,RSMB000001,Rent,17 Sample Ave,HARBOUR PROPERTY GROUP,12-4567-0023456-04,RSMB000001,Other,17 Sample Ave,-550.00,340.32
12-3456-0789012-00,2026-04-22,2026-04-23,CITY APPLIANCES AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-3.00,337.32
12-3456-0789012-00,2026-04-23,2026-04-23,TRANSFER FROM A N OTHER - 01,CREDIT TRANSFER,,,,A N OTHER,12-3456-0789012-01,,,,750.00,1087.32
12-3456-0789012-00,2026-04-23,2026-04-23,PAY Jane Smith Food 17 Apr,DIRECT DEBIT,Food,17 Apr,,Jane Smith,06-6543-0987654-00,Food,17 Apr,,-18.30,1069.02
12-3456-0789012-00,2026-04-24,2026-04-25,HARBOUR CAFE AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-8.50,1060.52
12-3456-0789012-00,2026-04-25,2026-04-27,MOBILENET PREPAID (3) AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-11.04,1049.48
12-3456-0789012-00,2026-04-27,2026-04-27,FRESH MART HIGHLAND PARK,EFTPOS PURCHASE,,,,,,,,,-82.48,967
12-3456-0789012-00,2026-04-27,2026-04-28,POS W/D CLOUDSTORE.COM/BILL SYDNEY AU (INC. $0.31 INTERNATIONAL TRANSACTION FEE) CLOUDSTORE.COM/BILL SYDNEY,EFTPOS PURCHASE,,,,,,,,,-17.30,949.7
12-3456-0789012-00,2026-04-28,2026-04-29,CITY APPLIANCES AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-2.50,947.2
12-3456-0789012-00,2026-04-28,2026-04-29,CITY APPLIANCES AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-8.50,938.7
12-3456-0789012-00,2026-04-27,2026-04-29,CITY TRANSPORT AUCKLAND,EFTPOS PURCHASE,,,,,,,,,-3.00,935.7
12-3456-0789012-00,2026-04-28,2026-04-29,PEDAL POWER HAMILTON,EFTPOS PURCHASE,,,,,,,,,-77.99,857.71
