Account number,Effective Date,Transaction Date,Description,Transaction Code,Particulars,Code,Reference,Other Party Name,Other Party Account Number,Other Party Particulars,Other Party Code,Other Party Reference,Amount,Balance
12-3456-0789012-01,2026-03-31,2026-03-31,INTEREST CREDIT,INTEREST CREDIT,,,,,,,,,3.44,3345.47
12-3456-0789012-01,2026-03-31,2026-03-31,IRD WITHHOLDING TAX 30.000%,IRD WITHHOLDING TAX,,,,,,,,,-1.03,3344.44
12-3456-0789012-01,2026-04-02,2026-04-02,TRANSFER TO A N OTHER - 00,DEBIT TRANSFER,,,,A N OTHER,12-3456-0789012-00,,,,-750.00,2594.44
12-3456-0789012-01,2026-04-09,2026-04-09,TRANSFER TO A N OTHER - 00,DEBIT TRANSFER,,,,A N OTHER,12-3456-0789012-00,,,,-750.00,1844.44
12-3456-0789012-01,2026-04-16,2026-04-16,TRANSFER TO A N OTHER - 00,DEBIT TRANSFER,,,,A N OTHER,12-3456-0789012-00,,,,-750.00,1094.44
12-3456-0789012-01,2026-04-18,2026-04-18,TRANSFER FROM A N OTHER - 00,CREDIT TRANSFER,,,,A N OTHER,12-3456-0789012-00,,,,3865.01,4959.45
12-3456-0789012-01,2026-04-23,2026-04-23,TRANSFER TO A N OTHER - 00,DEBIT TRANSFER,,,,A N OTHER,12-3456-0789012-00,,,,-750.00,4209.45
12-3456-0789012-01,2026-04-30,2026-04-30,TRANSFER TO A N OTHER - 00,DEBIT TRANSFER,,,,A N OTHER,12-3456-0789012-00,,,,-750.00,3459.45
12-3456-0789012-01,2026-04-30,2026-04-30,INTEREST CREDIT,INTEREST CREDIT,,,,,,,,,3.88,3463.33
12-3456-0789012-01,2026-04-30,2026-04-30,IRD WITHHOLDING TAX 30.000%,IRD WITHHOLDING TAX,,,,,,,,,-1.16,3462.17
12-3456-0789012-01,2026-05-07,2026-05-07,TRANSFER TO A N OTHER - 00,DEBIT TRANSFER,,,,A N OTHER,12-3456-0789012-00,,,,-750.00,2712.17
12-3456-0789012-01,2026-05-15,2026-05-14,TRANSFER TO A N OTHER - 00,DEBIT TRANSFER,,,,A N OTHER,12-3456-0789012-00,,,,-550.00,2162.17
12-3456-0789012-01,2026-05-15,2026-05-14,TRANSFER TO A N OTHER - 00,DEBIT TRANSFER,,,,A N OTHER,12-3456-0789012-00,,,,-200.00,1962.17
12-3456-0789012-01,2026-05-19,2026-05-19,TRANSFER FROM A N OTHER - 00,CREDIT TRANSFER,,,,A N OTHER,12-3456-0789012-00,,,,4060.62,6022.79
12-3456-0789012-01,2026-05-21,2026-05-21,TRANSFER TO A N OTHER - 00,DEBIT TRANSFER,,,,A N OTHER,12-3456-0789012-00,,,,-560.00,5462.79
12-3456-0789012-01,2026-05-28,2026-05-28,TRANSFER TO A N OTHER - 00,DEBIT TRANSFER,,,,A N OTHER,12-3456-0789012-00,,,,-750.00,4712.79
12-3456-0789012-01,2026-05-29,2026-05-29,TRANSFER FROM A N OTHER - 00,CREDIT TRANSFER,,,,A N OTHER,12-3456-0789012-00,,,,628.83,5341.62
12-3456-0789012-01,2026-05-31,2026-05-31,INTEREST CREDIT,INTEREST CREDIT,,,,,,,,,4.91,5346.53
12-3456-0789012-01,2026-05-31,2026-05-31,IRD WITHHOLDING TAX 30.000%,IRD WITHHOLDING TAX,,,,,,,,,-1.47,5345.06
12-3456-0789012-01,2026-06-04,2026-06-04,TRANSFER TO A N OTHER - 00,DEBIT TRANSFER,,,,A N OTHER,12-3456-0789012-00,,,,-750.00,4595.06
12-3456-0789012-01,2026-06-11,2026-06-11,TRANSFER TO A N OTHER - 00,DEBIT TRANSFER,,,,A N OTHER,12-3456-0789012-00,,,,-750.00,3845.06
12-3456-0789012-01,2026-06-18,2026-06-18,TRANSFER TO A N OTHER - 00,DEBIT TRANSFER,,,,A N OTHER,12-3456-0789012-00,,,,-750.00,3095.06
12-3456-0789012-01,2026-06-18,2026-06-18,TRANSFER TO A N OTHER - 00,DEBIT TRANSFER,,,,A N OTHER,12-3456-0789012-00,,,,-727.00,2368.06
12-3456-0789012-01,2026-06-19,2026-06-19,TRANSFER FROM A N OTHER - 00,CREDIT TRANSFER,,,,A N OTHER,12-3456-0789012-00,,,,4228.93,6596.99
12-3456-0789012-01,2026-06-22,2026-06-22,TRANSFER TO A N OTHER - 00,DEBIT TRANSFER,,,,A N OTHER,12-3456-0789012-00,,,,-250.00,6346.99
12-3456-0789012-01,2026-06-25,2026-06-25,TRANSFER TO A N OTHER - 00,DEBIT TRANSFER,,,,A N OTHER,12-3456-0789012-00,,,,-750.00,5596.99
